No. de Noticia;Fuente y Fecha;Titulo de la noticia;URL;TEMA;GUARDADO;ANOTADO
Noticia_44.txt;EFE Madrid 17 abr. 2020                                                                                              ;Airbus hace un ERTE a 3.000 trabajadores en Francia y lo negocia en España;https://www.efe.com/efe/espana/efeempresas/airbus-hace-un-erte-a-3-000-trabajadores-en-francia-y-lo-negocia-espana/50000908-4224374;EMPRESAS;;
Noticia_45.txt;EFE Madrid 6 abr. 2020                                                                                                                                                                        ;El que fuera presidente de Repsol Alfonso Cortina fallece por coronavirus;https://www.efe.com/efe/espana/efeempresas/el-que-fuera-presidente-de-repsol-alfonso-cortina-fallece-por-coronavirus/50000908-4214650;EMPRESAS;;
Noticia_46.txt;EFE Madrid 2 abr. 2020                                                                                        ;Sánchez Galán (Iberdrola) asegura que acelerarán las inversiones tan pronto como sea posible;https://www.efe.com/efe/espana/efeempresas/sanchez-galan-iberdrola-asegura-que-aceleraran-las-inversiones-tan-pronto-como-sea-posible/50000908-4211930;EMPRESAS;;
Noticia_47.txt;EFE Madrid 8 abr. 2020                                                                                                                                                                            ;La gran distribución prevé una caída de 50 % en ventas cuando abran las tiendas;https://www.efe.com/efe/espana/efeempresas/la-gran-distribucion-preve-una-caida-de-50-en-ventas-cuando-abran-las-tiendas/50000908-4216788;EMPRESAS;;
Noticia_48.txt;EFEMéxico15 abr. 2020                                                                            ;Posponen la World Seafood Industry para el 2021 por el COVID-19;https://www.efe.com/efe/espana/mexico-empresas/posponen-la-world-seafood-industry-para-el-2021-por-covid-19/50001436-4221363;MÉXICO INDUSTRIA;;
Noticia_49.txt;EFEMéxico 13 abr. 2020                                                                   ;Ingenios azucareros se reconvierten para fabricar gel antibacterial;https://www.efe.com/efe/espana/mexico-empresas/ingenios-azucareros-se-reconvierten-para-fabricar-gel-antibacterial/50001436-4220287;CORONAVIRUS MÉXICO;;
Noticia_50.txt;EFEMéxico8 abr. 2020                                                                                                                                  ;Intel aportará 50 millones de dólares en tecnología para combatir el COVID-19;https://www.efe.com/efe/espana/mexico-empresas/intel-aportara-50-millones-de-dolares-en-tecnologia-para-combatir-el-covid-19/50001436-4216136;CORONAVIRUS EMPRESAS;;
Noticia_51.txt;EFEParís21 abr. 2020                                                                           ;Proponen retrasar un año la Exposición Universal de Dubai por la COVID-19;https://www.efe.com/efe/espana/destacada/proponen-retrasar-un-ano-la-exposicion-universal-de-dubai-por-covid-19/10011-4227021;CORONAVIRUS EXPO;;
Noticia_52.txt;EFEMoscú21 abr. 2020                                                                                                                                                    ;El Hermitage sobrevive a la cuarentena mostrando sus tesoros en la red;https://www.efe.com/efe/espana/destacada/el-hermitage-sobrevive-a-la-cuarentena-mostrando-sus-tesoros-en-red/10011-4227143;RUSIA HERMITAGE;;
Noticia_53.txt;EFEBruselas21 abr. 2020                                                                                                                                                   ;La Justicia belga desestima la demanda de Puigdemont contra Llarena;https://www.efe.com/efe/espana/politica/la-justicia-belga-desestima-demanda-de-puigdemont-contra-llarena/10002-4226875;CRISIS CATALUÑA;;
